"Chap","Prot","DB","evidence","weight"
"HSPA9","IDH2","local","coexpression",1
"HSPA9","GCDH","local","coexpression",1
"HSPA9","MRPL47","local","coexpression",1
"HSPA9","PPA2","local","coexpression",1
"HSPA9","MRPL9","local","coexpression",1
"HSPA9","WARS2","local","coexpression",1
"HSPA9","SLC25A19","local","coexpression",1
"HSPA9","MRPS16","local","coexpression",1
"HSPA9","ETFRF1","local","coexpression",1
"HSPA9","GPD2","local","coexpression",1
"HSPA9","NDUFA10","local","coexpression",1
"HSPA9","TIMM21","local","coexpression",1
"HSPA9","GLS","local","coexpression",1
"HSPA9","DHTKD1","local","coexpression",1
"HSPA9","MRPS5","local","coexpression",1
"HSPA9","DECR1","local","coexpression",1
"HSPA9","SLC25A15","local","coexpression",1
"HSPA9","STOML2","local","coexpression",1
"HSPA9","LACTB","local","coexpression",1
"HSPA9","TOMM40","local","coexpression",1
"HSPA9","SLC25A25","local","coexpression",1
"HSPA9","VWA8","local","coexpression",1
"HSPA9","DNAJC11","local","coexpression",1
"HSPA9","SSBP1","local","coexpression",1
"HSPA9","MRPS10","local","coexpression",1
"HSPA9","AK4","local","coexpression",1
"HSPA9","ATAD3A","local","coexpression",1
"HSPA9","MRPL37","local","coexpression",1
"HSPA9","CISD1","local","coexpression",1
"HSPA9","MTARC2","local","coexpression",1
"HSPA9","MRPS6","local","coexpression",1
"HSPA9","SCO1","local","coexpression",1
"HSPA9","MTHFD1L","local","coexpression",1
"HSPA9","ECI2","local","coexpression",1
"HSPA9","UQCRB","local","coexpression",1
"HSPA9","ATP5H","local","coexpression",1
"HSPA9","ATP5L","local","coexpression",1
"HSPA9","CCDC58","local","coexpression",1
"HSPA9","MCCC2","local","coexpression",1
"HSPA9","MUT","local","coexpression",1
"HSPA9","SLC25A51","local","coexpression",1
"HSPA9","ATP5G3","local","coexpression",1
"HSPA9","ATAD1","local","coexpression",1
"HSPA9","OXNAD1","local","coexpression",1
"HSPA9","DARS2","local","coexpression",1
"HSPA9","MRPL51","local","coexpression",1
"HSPA9","CLYBL","local","coexpression",1
"HSPA9","PNPLA8","local","coexpression",1
"HSPA9","MLYCD","local","coexpression",1
"HSPA9","MRPL32","local","coexpression",1
"HSPA9","PRODH2","local","coexpression",1
"HSPA9","ME2","local","coexpression",1
"HSPA9","TUFM","local","coexpression",1
"HSPA9","SLC30A9","local","coexpression",1
"HSPA9","TIMM23","local","coexpression",1
"HSPA9","RMND1","local","coexpression",1
