"node1","node2","BRCA","COAD","HNSC","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"HSPA9","VDAC1",1,1,1,1,1,1,1,1,1,1,1,1
"HSPA9","HADH",0,0,0,1,1,0,0,0,0,0,1,0
"HSPA9","ACADL",0,0,0,0,0,0,0,0,0,0,1,0
"HSPA9","ACAT1",0,1,0,1,1,0,0,0,0,0,1,1
"HSPA9","MALSU1",0,0,0,1,0,0,0,0,0,0,0,0
"HSPA9","NDUFS4",0,1,0,1,1,0,0,0,0,0,0,1
"HSPA9","MRPL4",0,0,0,0,1,0,0,0,0,1,0,0
"HSPA9","C1QBP",0,0,0,1,1,0,1,0,1,1,1,1
"HSPA9","PITRM1",0,0,0,0,0,0,0,0,0,0,1,0
"HSPA9","UQCC1",1,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPL55",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRM1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MECR",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPL44",0,1,0,1,1,0,0,0,1,1,0,1
"HSPA9","HSDL2",0,1,0,1,1,0,0,0,0,0,1,0
"HSPA9","MRPS14",0,0,0,0,0,0,0,0,1,0,1,0
"HSPA9","ABCB8",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ATPAF2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","NDUFA9",0,0,0,0,0,0,0,0,0,1,0,0
"HSPA9","COA6",0,1,0,0,0,0,0,1,0,1,0,0
"HSPA9","POLRMT",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ISCU",0,0,0,0,1,0,0,0,0,0,0,0
"HSPA9","RTN4IP1",0,1,0,1,0,0,0,0,0,1,0,0
"HSPA9","OGDHL",0,0,1,1,1,0,0,0,0,0,1,0
"HSPA9","ATP5C1",0,1,0,0,1,0,0,0,0,1,0,1
"HSPA9","BCKDK",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","GFM2",1,1,1,1,1,1,1,1,1,1,1,1
"HSPA9","NDUFAF4",0,1,0,0,1,0,1,1,0,1,1,1
"HSPA9","SLC25A35",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","SLC25A11",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","TIMM8B",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MCAT",0,0,0,0,0,0,0,0,0,1,0,0
"HSPA9","IBA57",0,0,0,1,1,0,0,0,0,0,1,1
"HSPA9","PHB2",0,0,1,0,0,0,0,0,0,1,0,0
"HSPA9","DAP3",0,1,1,0,1,1,0,0,1,1,0,1
