cancer,under_curve,run_type,sim,chap_removed
HNSC,0.6110547627395204,random,1,HTRA2->CLPP->HSPA9->DNAJC19->TRAP1->AFG3L2->YME1L1->HSPE1->HSCB->GRPEL2->HSPD1->LONP1->SPG7->CLPX->DNAJA3
KIRC,0.6573097785713118,random,1,LONP1->TRAP1->HSPD1->AFG3L2->HSPE1->DNAJA3->CLPP->GRPEL2->SPG7->HSPA9->HTRA2->YME1L1->HSCB->DNAJC19->CLPX
KIRP,0.7261676319480792,random,1,GRPEL2->HSPA9->CLPX->HTRA2->AFG3L2->CLPP->HSPD1->DNAJA3->HSCB->LONP1->SPG7->DNAJC19->HSPE1->YME1L1->TRAP1
LIHC,0.5998431085594869,random,1,TRAP1->CLPX->AFG3L2->HSPA9->CLPP->HSCB->GRPEL2->HSPD1->SPG7->DNAJC19->LONP1->HTRA2->YME1L1->HSPE1->DNAJA3
LUAD,0.5561158976025652,random,1,CLPX->SPG7->LONP1->HTRA2->HSPA9->HSCB->GRPEL2->TRAP1->HSPD1->AFG3L2->YME1L1->DNAJC19->DNAJA3->HSPE1->CLPP
LUSC,0.5631616782121727,random,1,YME1L1->AFG3L2->DNAJC19->HSPA9->SPG7->CLPP->HSPE1->HTRA2->CLPX->HSPD1->GRPEL2->TRAP1->DNAJA3->HSCB->LONP1
PRAD,0.6037363921532871,random,1,GRPEL2->HTRA2->HSPD1->SPG7->HSPA9->TRAP1->YME1L1->DNAJC19->AFG3L2->HSPE1->LONP1->HSCB->DNAJA3->CLPX->CLPP
STAD,0.5888688538148658,random,1,HTRA2->DNAJA3->GRPEL2->YME1L1->SPG7->HSPA9->AFG3L2->CLPX->HSPE1->CLPP->HSCB->LONP1->DNAJC19->HSPD1->TRAP1
THCA,0.6881143117077764,random,1,HTRA2->YME1L1->CLPP->HSPD1->HSPE1->TRAP1->AFG3L2->CLPX->GRPEL2->HSPA9->DNAJA3->DNAJC19->HSCB->LONP1->SPG7
UCEC,0.6016887964399965,random,1,TRAP1->CLPX->HTRA2->SPG7->LONP1->HSPE1->HSCB->HSPA9->AFG3L2->DNAJA3->HSPD1->YME1L1->GRPEL2->DNAJC19->CLPP
BRCA,0.5672213301501933,random,2,HTRA2->AFG3L2->HSCB->TRAP1->YME1L1->DNAJA3->CLPP->HSPE1->GRPEL2->DNAJC19->HSPD1->HSPA9->SPG7->LONP1->CLPX
COAD,0.6285264250951942,random,2,AFG3L2->GRPEL2->CLPP->YME1L1->HSPE1->TRAP1->LONP1->CLPX->HTRA2->DNAJC19->HSPA9->DNAJA3->HSCB->HSPD1->SPG7
HNSC,0.614695237543674,random,2,HSPD1->HSCB->HTRA2->SPG7->CLPP->AFG3L2->LONP1->CLPX->HSPE1->GRPEL2->TRAP1->HSPA9->DNAJC19->DNAJA3->YME1L1
KIRC,0.6582037122139027,random,2,HSPA9->DNAJA3->TRAP1->YME1L1->HTRA2->CLPP->DNAJC19->HSPD1->SPG7->HSCB->LONP1->GRPEL2->CLPX->HSPE1->AFG3L2
KIRP,0.7200249706987878,random,2,LONP1->CLPX->DNAJA3->YME1L1->HSCB->AFG3L2->HSPA9->HTRA2->HSPE1->GRPEL2->HSPD1->SPG7->DNAJC19->CLPP->TRAP1
LIHC,0.6166239082749633,random,2,HSPD1->CLPP->TRAP1->AFG3L2->SPG7->DNAJC19->HSCB->CLPX->YME1L1->DNAJA3->HSPA9->GRPEL2->HTRA2->HSPE1->LONP1
LUAD,0.580014403963919,random,2,LONP1->CLPX->HSCB->HSPE1->GRPEL2->TRAP1->CLPP->YME1L1->HSPD1->DNAJA3->HTRA2->DNAJC19->SPG7->HSPA9->AFG3L2
LUSC,0.5466964268895147,random,2,HSPE1->YME1L1->AFG3L2->HSPD1->DNAJA3->CLPP->TRAP1->SPG7->HTRA2->HSCB->CLPX->HSPA9->LONP1->GRPEL2->DNAJC19
