"Var1","Var2","value","cancer"
"DNAJC19","CLPP",0.0078740157480315,"COAD"
"HSPD1","CLPP",0.00962379702537183,"COAD"
"HSPE1","CLPP",0.0306211723534558,"COAD"
"HSPA9","CLPP",0.0131233595800525,"COAD"
"GRPEL2","CLPP",0.000874890638670166,"COAD"
"AFG3L2","TRAP1",0.00349956255468067,"COAD"
"YME1L1","TRAP1",0,"COAD"
"CLPX","TRAP1",0,"COAD"
"HSCB","TRAP1",0.00874890638670166,"COAD"
"DNAJC19","TRAP1",0.00874890638670166,"COAD"
"HSPD1","TRAP1",0.0244969378827647,"COAD"
"HSPE1","TRAP1",0.0341207349081365,"COAD"
"HSPA9","TRAP1",0.0227471566054243,"COAD"
"GRPEL2","TRAP1",0.00174978127734033,"COAD"
"YME1L1","AFG3L2",0.0183727034120735,"COAD"
"CLPX","AFG3L2",0.0271216097987752,"COAD"
"HSCB","AFG3L2",0.00962379702537183,"COAD"
"DNAJC19","AFG3L2",0.000874890638670166,"COAD"
"HSPD1","AFG3L2",0.0113735783027122,"COAD"
"HSPE1","AFG3L2",0.005249343832021,"COAD"
"HSPA9","AFG3L2",0.0192475940507437,"COAD"
"GRPEL2","AFG3L2",0.0192475940507437,"COAD"
"CLPX","YME1L1",0.089238845144357,"COAD"
"HSCB","YME1L1",0.0192475940507437,"COAD"
"DNAJC19","YME1L1",0.0559930008748906,"COAD"
"HSPD1","YME1L1",0.0699912510936133,"COAD"
"HSPE1","YME1L1",0.0332458442694663,"COAD"
"HSPA9","YME1L1",0.05249343832021,"COAD"
"GRPEL2","YME1L1",0.10673665791776,"COAD"
"HSCB","CLPX",0.020997375328084,"COAD"
"DNAJC19","CLPX",0.0393700787401575,"COAD"
"HSPD1","CLPX",0.0621172353455818,"COAD"
"HSPE1","CLPX",0.0271216097987752,"COAD"
"HSPA9","CLPX",0.0568678915135608,"COAD"
"GRPEL2","CLPX",0.100612423447069,"COAD"
"DNAJC19","HSCB",0.0437445319335083,"COAD"
"HSPD1","HSCB",0.0586176727909011,"COAD"
"HSPE1","HSCB",0.0656167979002625,"COAD"
"HSPA9","HSCB",0.05249343832021,"COAD"
"GRPEL2","HSCB",0.0446194225721785,"COAD"
"HSPD1","DNAJC19",0.134733158355206,"COAD"
"HSPE1","DNAJC19",0.144356955380577,"COAD"
"HSPA9","DNAJC19",0.0804899387576553,"COAD"
"GRPEL2","DNAJC19",0.109361329833771,"COAD"
"HSPE1","HSPD1",0.163604549431321,"COAD"
"HSPA9","HSPD1",0.136482939632546,"COAD"
"GRPEL2","HSPD1",0.128608923884514,"COAD"
"HSPA9","HSPE1",0.0997375328083989,"COAD"
"GRPEL2","HSPE1",0.0857392825896763,"COAD"
"GRPEL2","HSPA9",0.10673665791776,"COAD"
"GRPEL2","CLPX",0.00174978127734033,"HNSC"
"SPG7","CLPX",0,"HNSC"
"LONP1","CLPX",0,"HNSC"
"HTRA2","CLPX",0,"HNSC"
"CLPP","CLPX",0,"HNSC"
"HSCB","CLPX",0,"HNSC"
"HSPE1","CLPX",0.000874890638670166,"HNSC"
"DNAJC19","CLPX",0.000874890638670166,"HNSC"
"YME1L1","CLPX",0.005249343832021,"HNSC"
"HSPA9","CLPX",0,"HNSC"
"AFG3L2","CLPX",0.000874890638670166,"HNSC"
"DNAJA3","CLPX",0.000874890638670166,"HNSC"
"HSPD1","CLPX",0,"HNSC"
"TRAP1","CLPX",0.000874890638670166,"HNSC"
"SPG7","GRPEL2",0,"HNSC"
"LONP1","GRPEL2",0,"HNSC"
"HTRA2","GRPEL2",0,"HNSC"
"CLPP","GRPEL2",0,"HNSC"
"HSCB","GRPEL2",0,"HNSC"
"HSPE1","GRPEL2",0,"HNSC"
"DNAJC19","GRPEL2",0.000874890638670166,"HNSC"
"YME1L1","GRPEL2",0.000874890638670166,"HNSC"
"HSPA9","GRPEL2",0,"HNSC"
"AFG3L2","GRPEL2",0,"HNSC"
"DNAJA3","GRPEL2",0.000874890638670166,"HNSC"
"HSPD1","GRPEL2",0,"HNSC"
"TRAP1","GRPEL2",0.000874890638670166,"HNSC"
"LONP1","SPG7",0.0752405949256343,"HNSC"
"HTRA2","SPG7",0.0909886264216973,"HNSC"
"CLPP","SPG7",0.0822397200349956,"HNSC"
"HSCB","SPG7",0.123359580052493,"HNSC"
"HSPE1","SPG7",0.109361329833771,"HNSC"
"DNAJC19","SPG7",0.118985126859143,"HNSC"
"YME1L1","SPG7",0,"HNSC"
"HSPA9","SPG7",0.00437445319335083,"HNSC"
"AFG3L2","SPG7",0.00962379702537183,"HNSC"
"DNAJA3","SPG7",0.0376202974628171,"HNSC"
