"row","col","similarity","cancer"
"DNAJA3","HSCB",0.144347826086957,"HNSC"
"LONP1","HSCB",0.453563714902808,"HNSC"
"TRAP1","HSCB",0.140869565217391,"HNSC"
"YME1L1","HSCB",0.00192307692307692,"HNSC"
"CLPX","HSCB",0,"HNSC"
"AFG3L2","HSCB",0.0466786355475763,"HNSC"
"HTRA2","HSCB",0.468809073724008,"HNSC"
"DNAJC19","HSCB",0.625207296849088,"HNSC"
"GRPEL2","HSCB",0,"HNSC"
"HSPA9","HSPD1",0.615873015873016,"KIRC"
"HSPA9","HSPE1",0.0804597701149424,"KIRC"
"HSPD1","HSPE1",0.106157112526539,"KIRC"
"HSPA9","SPG7",0.00461893764434174,"KIRC"
"HSPD1","SPG7",0,"KIRC"
"HSPE1","SPG7",0.044392523364486,"KIRC"
"HSPA9","CLPP",0.00400801603206413,"KIRC"
"HSPD1","CLPP",0.0177777777777777,"KIRC"
"HSPE1","CLPP",0.461538461538462,"KIRC"
"SPG7","CLPP",0.0294906166219839,"KIRC"
"HSPA9","DNAJA3",0.475195822454308,"KIRC"
"HSPD1","DNAJA3",0.474576271186441,"KIRC"
"HSPE1","DNAJA3",0.179959100204499,"KIRC"
"SPG7","DNAJA3",0.0418604651162792,"KIRC"
"CLPP","DNAJA3",0.0708333333333333,"KIRC"
"HSPA9","LONP1",0.02088772845953,"KIRC"
"HSPD1","LONP1",0.0326409495548962,"KIRC"
"HSPE1","LONP1",0.255451713395639,"KIRC"
"SPG7","LONP1",0.109311740890688,"KIRC"
"CLPP","LONP1",0.26865671641791,"KIRC"
"DNAJA3","LONP1",0.119113573407202,"KIRC"
"HSPA9","TRAP1",0.438692098092643,"KIRC"
"HSPD1","TRAP1",0.430678466076696,"KIRC"
"HSPE1","TRAP1",0.062992125984252,"KIRC"
"SPG7","TRAP1",0.0326633165829145,"KIRC"
"CLPP","TRAP1",0.0192307692307693,"KIRC"
"DNAJA3","TRAP1",0.41994750656168,"KIRC"
"LONP1","TRAP1",0.0455840455840456,"KIRC"
"HSPA9","YME1L1",0.392,"KIRC"
"HSPD1","YME1L1",0.277333333333333,"KIRC"
"HSPE1","YME1L1",0,"KIRC"
"SPG7","YME1L1",0.00247524752475259,"KIRC"
"CLPP","YME1L1",0,"KIRC"
"DNAJA3","YME1L1",0.1784140969163,"KIRC"
"LONP1","YME1L1",0,"KIRC"
"TRAP1","YME1L1",0.241895261845386,"KIRC"
"HSPA9","CLPX",0.476923076923077,"KIRC"
"HSPD1","CLPX",0.319306930693069,"KIRC"
"HSPE1","CLPX",0.00857632933104624,"KIRC"
"SPG7","CLPX",0.0222717149220489,"KIRC"
"CLPP","CLPX",0,"KIRC"
"DNAJA3","CLPX",0.286026200873362,"KIRC"
"LONP1","CLPX",0.00484261501210659,"KIRC"
"TRAP1","CLPX",0.30188679245283,"KIRC"
"YME1L1","CLPX",0.634730538922156,"KIRC"
"HSPA9","AFG3L2",0.568062827225131,"KIRC"
"HSPD1","AFG3L2",0.393483709273183,"KIRC"
"HSPE1","AFG3L2",0.0286195286195287,"KIRC"
"SPG7","AFG3L2",0.00836820083682022,"KIRC"
"CLPP","AFG3L2",0.0018281535648994,"KIRC"
"DNAJA3","AFG3L2",0.350993377483444,"KIRC"
"LONP1","AFG3L2",0.0138888888888888,"KIRC"
"TRAP1","AFG3L2",0.474358974358974,"KIRC"
"YME1L1","AFG3L2",0.529569892473118,"KIRC"
"CLPX","AFG3L2",0.609819121447028,"KIRC"
"HSPA9","HTRA2",0.0214723926380368,"KIRC"
"HSPD1","HTRA2",0.0469314079422383,"KIRC"
"HSPE1","HTRA2",0.00583090379008744,"KIRC"
"SPG7","HTRA2",0.00465116279069766,"KIRC"
"CLPP","HTRA2",0.036764705882353,"KIRC"
"DNAJA3","HTRA2",0.0453172205438066,"KIRC"
"LONP1","HTRA2",0.00584795321637432,"KIRC"
"TRAP1","HTRA2",0.0957446808510639,"KIRC"
"YME1L1","HTRA2",0.0594405594405595,"KIRC"
"CLPX","HTRA2",0.0288184438040346,"KIRC"
"AFG3L2","HTRA2",0.0674157303370786,"KIRC"
