"","chaperone1","chaperone2","protein","prot_name","obs_percent","random_percent"
"86","HSPA9","HSPD1","ENSG00000178537","SLC25A20",0.0833333333333333,1
"87","HSPA9","HSPD1","ENSG00000169288","MRPL1",0.333333333333333,1
"88","HSPA9","HSPD1","ENSG00000104980","TIMM44",0.0833333333333333,1
"89","HSPA9","HSPD1","ENSG00000213585","VDAC1",0.916666666666667,1
"90","HSPA9","HSPD1","ENSG00000138796","HADH",0.25,1
"91","HSPA9","HSPD1","ENSG00000075239","ACAT1",0.333333333333333,1
"92","HSPA9","HSPD1","ENSG00000156928","MALSU1",0.0833333333333333,1
"93","HSPA9","HSPD1","ENSG00000164258","NDUFS4",0.25,1
"94","HSPA9","HSPD1","ENSG00000105364","MRPL4",0.166666666666667,1
"95","HSPA9","HSPD1","ENSG00000108561","C1QBP",0.5,1
"96","HSPA9","HSPD1","ENSG00000135900","MRPL44",0.5,1
"97","HSPA9","HSPD1","ENSG00000119471","HSDL2",0.25,1
"98","HSPA9","HSPD1","ENSG00000120333","MRPS14",0.0833333333333333,1
"99","HSPA9","HSPD1","ENSG00000139180","NDUFA9",0.0833333333333333,1
"100","HSPA9","HSPD1","ENSG00000168275","COA6",0.25,1
"101","HSPA9","HSPD1","ENSG00000136003","ISCU",0.0833333333333333,1
"102","HSPA9","HSPD1","ENSG00000130347","RTN4IP1",0.166666666666667,1
"103","HSPA9","HSPD1","ENSG00000165629","ATP5C1",0.333333333333333,1
"104","HSPA9","HSPD1","ENSG00000164347","GFM2",0.583333333333333,1
"105","HSPA9","HSPD1","ENSG00000123545","NDUFAF4",0.583333333333333,1
"106","HSPA9","HSPD1","ENSG00000100294","MCAT",0.0833333333333333,1
"107","HSPA9","HSPD1","ENSG00000215021","PHB2",0.166666666666667,1
"108","HSPA9","HSPD1","ENSG00000132676","DAP3",0.583333333333333,1
"109","HSPA9","HSPD1","ENSG00000103121","CMC2",0.0833333333333333,1
"110","HSPA9","HSPD1","ENSG00000244005","NFS1",0.333333333333333,1
"111","HSPA9","HSPD1","ENSG00000136463","TACO1",0.25,1
"112","HSPA9","HSPD1","ENSG00000171109","MFN1",0.166666666666667,1
"113","HSPA9","HSPD1","ENSG00000196850","PPTC7",0.25,1
"114","HSPA9","HSPD1","ENSG00000174547","MRPL11",0.0833333333333333,1
"115","HSPA9","HSPD1","ENSG00000172172","MRPL13",0.333333333333333,1
"116","HSPA9","HSPD1","ENSG00000083720","OXCT1",0.25,1
"117","HSPA9","HSPD1","ENSG00000005882","PDK2",0.0833333333333333,1
"118","HSPA9","HSPD1","ENSG00000023330","ALAS1",0.0833333333333333,1
"119","HSPA9","HSPD1","ENSG00000243147","MRPL33",0.0833333333333333,1
"120","HSPA9","HSPD1","ENSG00000135297","MTO1",0.333333333333333,1
"121","HSPA9","HSPD1","ENSG00000121897","LIAS",0.25,1
"122","HSPA9","HSPD1","ENSG00000128609","NDUFA5",0.0833333333333333,1
"123","HSPA9","HSPD1","ENSG00000165264","NDUFB6",0.0833333333333333,1
"124","HSPA9","HSPD1","ENSG00000128654","MTX2",0.416666666666667,1
"125","HSPA9","HSPD1","ENSG00000172340","SUCLG2",0.416666666666667,1
"126","HSPA9","HSPD1","ENSG00000137714","FDX1",0.166666666666667,1
"127","HSPA9","HSPD1","ENSG00000147586","MRPS28",0.333333333333333,1
"128","HSPA9","HSPD1","ENSG00000165637","VDAC2",0.416666666666667,1
"129","HSPA9","HSPD1","ENSG00000059691","GATB",0.0833333333333333,1
"130","HSPA9","HSPD1","ENSG00000074582","BCS1L",0.0833333333333333,1
"131","HSPA9","HSPD1","ENSG00000187118","CMC1",0.0833333333333333,1
"132","HSPA9","HSPD1","ENSG00000123297","TSFM",0.25,1
"133","HSPA9","HSPD1","ENSG00000165060","FXN",0.333333333333333,1
"134","HSPA9","HSPD1","ENSG00000169599","NFU1",0.0833333333333333,1
"135","HSPA9","HSPD1","ENSG00000139131","YARS2",0.5,1
"136","HSPA9","HSPD1","ENSG00000158882","TOMM40L",0.0833333333333333,1
"137","HSPA9","HSPD1","ENSG00000196177","ACADSB",0.25,1
"138","HSPA9","HSPD1","ENSG00000135972","MRPS9",0.25,1
"139","HSPA9","HSPD1","ENSG00000137547","MRPL15",0.583333333333333,1
"140","HSPA9","HSPD1","ENSG00000172115","CYCS",0.5,1
"141","HSPA9","HSPD1","ENSG00000027001","MIPEP",0.333333333333333,1
"142","HSPA9","HSPD1","ENSG00000186687","LYRM7",0.166666666666667,1
"143","HSPA9","HSPD1","ENSG00000095321","CRAT",0.0833333333333333,1
"144","HSPA9","HSPD1","ENSG00000114054","PCCB",0.5,1
"145","HSPA9","HSPD1","ENSG00000125445","MRPS7",0.166666666666667,1
"146","HSPA9","HSPD1","ENSG00000114686","MRPL3",0.666666666666667,1
"147","HSPA9","HSPD1","ENSG00000175198","PCCA",0.0833333333333333,1
"148","HSPA9","HSPD1","ENSG00000078070","MCCC1",0.333333333333333,1
"149","HSPA9","HSPD1","ENSG00000162129","CLPB",0.25,1
"150","HSPA9","HSPD1","ENSG00000152256","PDK1",0.25,1
"151","HSPA9","HSPD1","ENSG00000149792","MRPL49",0.333333333333333,1
"152","HSPA9","HSPD1","ENSG00000171202","TMEM126A",0.0833333333333333,1
"153","HSPA9","HSPD1","ENSG00000004961","HCCS",0.416666666666667,1
"154","HSPA9","HSPD1","ENSG00000106049","HIBADH",0.25,1
"155","HSPA9","HSPD1","ENSG00000115364","MRPL19",0.583333333333333,1
"156","HSPA9","HSPD1","ENSG00000174032","SLC25A30",0.25,1
"157","HSPA9","HSPD1","ENSG00000131269","ABCB7",0.416666666666667,1
"158","HSPA9","HSPD1","ENSG00000134375","TIMM17A",0.416666666666667,1
"159","HSPA9","HSPD1","ENSG00000143149","ALDH9A1",0.166666666666667,1
"160","HSPA9","HSPD1","ENSG00000163319","MRPS18C",0.166666666666667,1
"161","HSPA9","HSPD1","ENSG00000247626","MARS2",0.916666666666667,1
"162","HSPA9","HSPD1","ENSG00000119711","ALDH6A1",0.0833333333333333,1
"163","HSPA9","HSPD1","ENSG00000257218","GATC",0.166666666666667,1
"164","HSPA9","HSPD1","ENSG00000108179","PPIF",0.25,1
"165","HSPA9","HSPD1","ENSG00000128928","IVD",0.166666666666667,1
"166","HSPA9","HSPD1","ENSG00000087299","L2HGDH",0.583333333333333,1
"167","HSPA9","HSPD1","ENSG00000005022","SLC25A5",0.5,1
"168","HSPA9","HSPD1","ENSG00000100216","TOMM22",0.25,1
"169","HSPA9","HSPD1","ENSG00000167315","ACAA2",0.166666666666667,1
"170","HSPA9","HSPD1","ENSG00000185414","MRPL30",0.666666666666667,1
"171","HSPA9","HSPD1","ENSG00000135537","AFG1L",0.166666666666667,1
"172","HSPA9","HSPD1","ENSG00000116459","ATP5F1",0.5,1
"173","HSPA9","HSPD1","ENSG00000127184","COX7C",0.0833333333333333,1
"174","HSPA9","HSPD1","ENSG00000106554","CHCHD3",0.833333333333333,1
"175","HSPA9","HSPD1","ENSG00000115520","COQ10B",0.0833333333333333,1
"176","HSPA9","HSPD1","ENSG00000004142","POLDIP2",0.0833333333333333,1
"177","HSPA9","HSPD1","ENSG00000183048","SLC25A10",0.0833333333333333,1
